timestamp,open,high,low,close,volume,trade_count,vwap
2022-01-03 12:00:00+00:00,31.97,32.25,31.5,32.0666,10337,103,31.878681
2022-01-03 15:00:00+00:00,31.7,32.15,28.92,31.37,111731,1156,30.404223
2022-01-03 18:00:00+00:00,31.36,31.36,29.59,30.75,24802,230,30.135888
2022-01-03 21:00:00+00:00,30.05,30.05,29.59,29.59,1710,10,29.80693
2022-01-04 09:00:00+00:00,28.91,28.91,28.0,28.0,1126,31,28.338721
2022-01-04 12:00:00+00:00,29.1,29.4225,28.52,28.88,16231,159,28.882445
2022-01-04 15:00:00+00:00,28.98,30.68,28.65,30.39,47897,429,29.256245
2022-01-04 18:00:00+00:00,30.34,30.34,30.0,30.0,5899,65,30.14309
2022-01-04 21:00:00+00:00,30.21,30.21,30.21,30.21,473,1,30.21
2022-01-05 12:00:00+00:00,30.0,30.0,28.9935,29.2,2111,20,29.458009
2022-01-05 15:00:00+00:00,29.11,29.29,28.53,28.9,22305,299,28.901815
2022-01-05 18:00:00+00:00,28.68,29.28,27.27,27.75,74776,890,28.643088
2022-01-05 21:00:00+00:00,27.79,28.0,27.57,27.97,2471,17,27.77794
2022-01-06 12:00:00+00:00,27.5,27.78,27.3,27.3,3137,47,27.466932
2022-01-06 15:00:00+00:00,26.7585,28.9,26.05,28.79,28506,346,27.42161
2022-01-06 18:00:00+00:00,28.52,28.52,27.77,27.77,4794,87,28.182015
2022-01-06 21:00:00+00:00,27.94,27.94,27.94,27.94,715,1,27.94
2022-01-07 12:00:00+00:00,28.04,28.7015,27.81,28.7015,1770,12,28.192195
2022-01-07 15:00:00+00:00,28.08,29.05,27.63,28.92,11825,161,28.607741
2022-01-07 18:00:00+00:00,28.98,29.97,28.92,29.86,21178,285,29.614205
2022-01-07 21:00:00+00:00,29.87,29.87,29.33,29.33,1135,10,29.543736
2022-01-10 09:00:00+00:00,29.89,29.9,29.85,29.85,8829,11,29.860498
2022-01-10 12:00:00+00:00,29.35,29.58,28.5,28.72,4420,43,28.904822
2022-01-10 15:00:00+00:00,28.83,28.83,27.5,27.8787,16329,216,28.071431
2022-01-10 18:00:00+00:00,27.67,27.93,27.0,27.65,16989,240,27.491185
2022-01-10 21:00:00+00:00,27.4,27.4,27.4,27.4,715,2,27.4
2022-01-11 09:00:00+00:00,27.26,27.96,26.0,26.0,4393,44,26.669388
2022-01-11 12:00:00+00:00,25.91,25.91,11.11,11.11,237679,1877,16.985603
2022-01-11 15:00:00+00:00,11.04,24.9999,8.95,19.4,7411525,59786,16.846055
2022-01-11 18:00:00+00:00,19.3,21.33,18.33,20.8,1399085,10278,20.007858
2022-01-11 21:00:00+00:00,20.8,21.0,19.44,20.1,35278,223,20.379846
2022-01-12 00:00:00+00:00,19.7,20.0,19.7,19.76,1542,8,19.896044
2022-01-12 09:00:00+00:00,19.0,19.01,18.11,18.11,6515,76,18.705923
2022-01-12 12:00:00+00:00,18.5,21.8,17.21,20.0219,366679,3783,19.595196
2022-01-12 15:00:00+00:00,20.03,21.99,19.1501,20.9,314422,3683,20.684185
2022-01-12 18:00:00+00:00,20.89,21.4499,20.5,20.6,109997,1164,20.865399
2022-01-12 21:00:00+00:00,20.8,20.8,20.01,20.02,8284,39,20.542406
2022-01-13 00:00:00+00:00,20.01,20.02,20.01,20.01,412,4,20.012718
2022-01-13 09:00:00+00:00,19.68,20.0,18.77,19.94,2114,9,19.516273
2022-01-13 12:00:00+00:00,20.41,21.16,20.0,20.9,19034,298,20.541564
2022-01-13 15:00:00+00:00,20.9,21.0,20.0501,20.23,39713,436,20.5041
2022-01-13 18:00:00+00:00,20.34,20.84,20.22,20.38,21785,303,20.376263
2022-01-13 21:00:00+00:00,20.4,20.4,20.4,20.4,852,1,20.4
2022-01-14 09:00:00+00:00,20.05,20.05,20.0,20.0,337,2,20.035163
2022-01-14 12:00:00+00:00,19.51,19.64,19.0,19.02,10658,76,19.349831
2022-01-14 15:00:00+00:00,18.78,19.5238,18.4,18.8875,56613,463,18.964474
2022-01-14 18:00:00+00:00,18.82,20.22,18.81,19.78,17395,218,19.600965
2022-01-14 21:00:00+00:00,19.76,20.2,19.76,20.2,1553,2,19.788332
2022-01-18 09:00:00+00:00,20.2,20.2,19.0,19.0,1127,8,19.626974
2022-01-18 12:00:00+00:00,19.76,20.3453,18.8909,20.0415,42202,400,19.532908
2022-01-18 15:00:00+00:00,20.26,20.26,15.52,17.46,157168,1376,17.982082
